Time,GraphQL,REST
0,616,349
10,184,132
20,150,110
30,742,91.9
40,58.4,91.9
50,58.4,91.9
60,58.4,26.4
70,58.4,26.4
80,3200,26.4
90,23.4,26.4
100,23.4,26.4
110,23.4,26.4
120,23.4,33.5
130,23.4,33.5
140,71.6,33.5
150,1600,32.4
160,54.7,43.7
170,54.7,31
180,54.7,30.5
190,54.7,30.5
200,54.7,30.5
210,52.3,30.5
220,80.9,30.5
230,80.9,30.5
240,80.9,25.2
250,80.9,25.2
260,80.9,25.2
270,86,25.2
280,63.3,25.2
290,63.3,25.2
300,63.3,56.7
310,63.3,36
320,63.3,36
330,48.3,36
340,132,36
350,132,36
360,132,16
370,132,16
380,132,16
390,68.3,
400,50.6,
410,50.6,
420,50.6,
