"Time","gateway-master-thesis-graphql@docker","inventory-master-thesis-graphql@docker","keycloak-master-thesis-graphql@docker","orders-master-thesis-graphql@docker","payment-master-thesis-graphql@docker","shipping-master-thesis-graphql@docker","Overall"
2020-11-26 16:39:00,,,,,,,
2020-11-26 16:39:10,,,,,,,
2020-11-26 16:39:20,,,31.5 ms,,,,31.5 ms
2020-11-26 16:39:30,616 ms,627 ms,4.67 ms,610 ms,,,372 ms
2020-11-26 16:39:40,184 ms,42.8 ms,4.67 ms,173 ms,,,133 ms
2020-11-26 16:39:50,150 ms,52.6 ms,4.67 ms,142 ms,,,115 ms
2020-11-26 16:40:00,742 ms,52.6 ms,2.41 ms,142 ms,,734 ms,493 ms
2020-11-26 16:40:10,58.4 ms,49.7 ms,5.46 ms,142 ms,636 ms,24.4 ms,155 ms
2020-11-26 16:40:20,58.4 ms,49.7 ms,5.46 ms,142 ms,636 ms,24.4 ms,155 ms
2020-11-26 16:40:30,58.4 ms,49.7 ms,5.46 ms,142 ms,636 ms,24.4 ms,155 ms
2020-11-26 16:40:40,58.4 ms,49.7 ms,5.46 ms,142 ms,636 ms,24.4 ms,155 ms
2020-11-26 16:40:50,32 s,7.30 ms,5.46 ms,142 ms,18.4 ms,10.1 ms,8.1 s
2020-11-26 16:41:00,23.4 ms,12.4 ms,5.46 ms,142 ms,8.31 ms,5.35 ms,12.4 ms
2020-11-26 16:41:10,23.4 ms,12.4 ms,5.46 ms,142 ms,8.31 ms,5.35 ms,12.4 ms
2020-11-26 16:41:20,23.4 ms,12.4 ms,5.46 ms,142 ms,8.31 ms,5.35 ms,12.4 ms
2020-11-26 16:41:30,23.4 ms,12.4 ms,5.46 ms,142 ms,8.31 ms,5.35 ms,12.4 ms
2020-11-26 16:41:40,23.4 ms,12.4 ms,5.46 ms,142 ms,8.31 ms,5.35 ms,12.4 ms
2020-11-26 16:41:50,71.6 ms,12.4 ms,5.46 ms,12.2 ms,63.1 ms,5.35 ms,49.0 ms
2020-11-26 16:42:00,1.6 s,12.4 ms,4.53 ms,319 ms,1.6 s,5.35 ms,693 ms
2020-11-26 16:42:10,54.7 ms,12.4 ms,4.53 ms,22.4 ms,25.9 ms,5.35 ms,34.4 ms
2020-11-26 16:42:20,54.7 ms,12.4 ms,4.53 ms,22.4 ms,25.9 ms,5.35 ms,34.4 ms
2020-11-26 16:42:30,54.7 ms,12.4 ms,4.53 ms,22.4 ms,25.9 ms,5.35 ms,34.4 ms
2020-11-26 16:42:40,54.7 ms,12.4 ms,4.53 ms,22.4 ms,25.9 ms,5.35 ms,34.4 ms
2020-11-26 16:42:50,54.7 ms,12.4 ms,4.53 ms,22.4 ms,25.9 ms,5.35 ms,34.4 ms
2020-11-26 16:43:00,52.3 ms,12.4 ms,4.53 ms,39.4 ms,25.9 ms,34.3 ms,42.0 ms
2020-11-26 16:43:10,80.9 ms,12.4 ms,4.53 ms,51.0 ms,25.9 ms,51.2 ms,61.1 ms
2020-11-26 16:43:20,80.9 ms,12.4 ms,4.53 ms,51.0 ms,25.9 ms,51.2 ms,61.1 ms
2020-11-26 16:43:30,80.9 ms,12.4 ms,4.53 ms,51.0 ms,25.9 ms,51.2 ms,61.1 ms
2020-11-26 16:43:40,80.9 ms,12.4 ms,4.53 ms,51.0 ms,25.9 ms,51.2 ms,61.1 ms
2020-11-26 16:43:50,80.9 ms,12.4 ms,4.53 ms,51.0 ms,25.9 ms,51.2 ms,61.1 ms
2020-11-26 16:44:00,86.0 ms,12.4 ms,7.48 ms,36.0 ms,25.9 ms,42.6 ms,43.0 ms
2020-11-26 16:44:10,63.3 ms,46.9 ms,7.48 ms,50.7 ms,25.9 ms,33.7 ms,48.7 ms
2020-11-26 16:44:20,63.3 ms,46.9 ms,7.48 ms,50.7 ms,25.9 ms,33.7 ms,48.7 ms
2020-11-26 16:44:30,63.3 ms,46.9 ms,7.48 ms,50.7 ms,25.9 ms,33.7 ms,48.7 ms
2020-11-26 16:44:40,63.3 ms,46.9 ms,7.48 ms,50.7 ms,25.9 ms,33.7 ms,48.7 ms
2020-11-26 16:44:50,63.3 ms,46.9 ms,7.48 ms,50.7 ms,25.9 ms,33.7 ms,48.7 ms
2020-11-26 16:45:00,48.3 ms,46.9 ms,7.08 ms,28.1 ms,25.9 ms,22.9 ms,26.6 ms
2020-11-26 16:45:10,132 ms,46.9 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,60.0 ms
2020-11-26 16:45:20,132 ms,46.9 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,60.0 ms
2020-11-26 16:45:30,132 ms,46.9 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,60.0 ms
2020-11-26 16:45:40,132 ms,46.9 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,60.0 ms
2020-11-26 16:45:50,132 ms,46.9 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,60.0 ms
2020-11-26 16:46:00,68.3 ms,30.0 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,49.2 ms
2020-11-26 16:46:10,50.6 ms,21.4 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,36.0 ms
2020-11-26 16:46:20,50.6 ms,21.4 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,36.0 ms
2020-11-26 16:46:30,50.6 ms,21.4 ms,7.08 ms,25.6 ms,25.9 ms,22.1 ms,36.0 ms

