"Time","Bytes received","Bytes transmitted"
2020-11-26 14:30:20,-495 kB,401 kB
2020-11-26 14:30:30,-478 kB,-569 kB
2020-11-26 14:30:40,6.946 kB,13.9 kB
2020-11-26 14:30:50,4.149 kB,3.756 kB
2020-11-26 14:31:00,17.2 kB,15.0 kB
2020-11-26 14:31:10,133 kB,133 kB
2020-11-26 14:31:20,212 kB,210 kB
2020-11-26 14:31:30,203 kB,207 kB
2020-11-26 14:31:40,36.0 kB,35.9 kB
2020-11-26 14:31:50,8.953 kB,7.441 kB
2020-11-26 14:32:00,50.2 kB,49.3 kB
2020-11-26 14:32:10,43.7 kB,43.2 kB
2020-11-26 14:32:20,4.991 kB,4.644 kB
2020-11-26 14:32:30,10.1 kB,9.549 kB
2020-11-26 14:32:40,21.1 kB,20.5 kB
2020-11-26 14:32:50,16.4 kB,14.5 kB
2020-11-26 14:33:00,53.0 kB,53.0 kB
2020-11-26 14:33:10,106 kB,104 kB
2020-11-26 14:33:20,19.2 kB,18.4 kB
2020-11-26 14:33:30,16.7 kB,16.0 kB
2020-11-26 14:33:40,44.5 kB,41.2 kB
2020-11-26 14:33:50,63.5 kB,58.8 kB
2020-11-26 14:34:00,64.9 kB,64.6 kB
2020-11-26 14:34:10,121 kB,121 kB
2020-11-26 14:34:20,7.682 kB,7.379 kB
2020-11-26 14:34:30,8.869 kB,8.644 kB
2020-11-26 14:34:40,13.2 kB,12.9 kB
2020-11-26 14:34:50,49.8 kB,49.5 kB
2020-11-26 14:35:00,116 kB,116 kB
2020-11-26 14:35:10,72.3 kB,71.3 kB
2020-11-26 14:35:20,26.1 kB,30.5 kB
2020-11-26 14:35:30,59.2 kB,70.5 kB
2020-11-26 14:35:40,13.2 kB,14.6 kB
2020-11-26 14:35:50,67.0 kB,76.4 kB
2020-11-26 14:36:00,221 kB,247 kB
2020-11-26 14:36:10,418 kB,429 kB
2020-11-26 14:36:20,68.4 kB,69.0 kB
2020-11-26 14:36:30,2.639 kB,2.207 kB
2020-11-26 14:36:40,2.555 kB,2.327 kB
2020-11-26 14:36:50,12.5 kB,15.1 kB
2020-11-26 14:37:00,120 kB,111 kB
2020-11-26 14:37:10,152 kB,162 kB
2020-11-26 14:37:20,7.906 kB,8.743 kB

