"Time","inventory-master-thesis-rest@docker","keycloak-master-thesis-rest@docker","orders-master-thesis-rest@docker","payment-master-thesis-rest@docker","shipping-master-thesis-rest@docker"
2020-11-26 14:30:20,0,0,0,0,0
2020-11-26 14:30:30,0,0,0,0,0
2020-11-26 14:30:40,0,0,0,0,0
2020-11-26 14:30:50,0,0,0,0,0
2020-11-26 14:31:00,109,4,10,0,0
2020-11-26 14:31:10,323,0,32,0,0
2020-11-26 14:31:20,365,0,37,0,0
2020-11-26 14:31:30,212,0,21,0,0
2020-11-26 14:31:40,0,0,0,0,0
2020-11-26 14:31:50,0,0,0,0,0
2020-11-26 14:32:00,0,2,0,0,100
2020-11-26 14:32:10,0,0,0,0,0
2020-11-26 14:32:20,0,0,0,0,0
2020-11-26 14:32:30,0,0,0,0,0
2020-11-26 14:32:40,0,0,0,0,0
2020-11-26 14:32:50,0,0,0,0,0
2020-11-26 14:33:00,0,2,0,100,100
2020-11-26 14:33:10,0,0,0,0,0
2020-11-26 14:33:20,0,0,0,0,0
2020-11-26 14:33:30,0,0,15,30,0
2020-11-26 14:33:40,0,0,55,110,0
2020-11-26 14:33:50,0,0,30,60,0
2020-11-26 14:34:00,0,3,300,0,0
2020-11-26 14:34:10,0,0,0,0,0
2020-11-26 14:34:20,0,0,0,0,0
2020-11-26 14:34:30,0,0,0,0,0
2020-11-26 14:34:40,0,0,0,0,0
2020-11-26 14:34:50,0,0,0,0,0
2020-11-26 14:35:00,0,0,0,0,300
2020-11-26 14:35:10,0,0,0,0,0
2020-11-26 14:35:20,0,0,0,0,0
2020-11-26 14:35:30,0,0,0,0,0
2020-11-26 14:35:40,0,0,0,0,0
2020-11-26 14:35:50,0,0,0,0,0
2020-11-26 14:36:00,166,2,110,0,100
2020-11-26 14:36:10,328,0,190,0,0
2020-11-26 14:36:20,0,0,0,0,0
2020-11-26 14:36:30,0,0,0,0,0
2020-11-26 14:36:40,0,0,0,0,0
2020-11-26 14:36:50,0,0,0,0,0
2020-11-26 14:37:00,494,0,0,0,0
2020-11-26 14:37:10,0,0,0,0,0
2020-11-26 14:37:20,0,0,0,0,0

