Woche,GraphQL,REST
2016-01-03,1,64
2016-01-10,2,66
2016-01-17,2,67
2016-01-24,1,68
2016-01-31,1,73
2016-02-07,2,69
2016-02-14,1,78
2016-02-21,2,76
2016-02-28,1,69
2016-03-06,2,79
2016-03-13,1,74
2016-03-20,2,68
2016-03-27,1,71
2016-04-03,1,69
2016-04-10,1,72
2016-04-17,1,71
2016-04-24,2,75
2016-05-01,2,74
2016-05-08,1,76
2016-05-15,2,77
2016-05-22,2,74
2016-05-29,2,72
2016-06-05,2,75
2016-06-12,2,74
2016-06-19,2,76
2016-06-26,2,77
2016-07-03,2,72
2016-07-10,2,77
2016-07-17,2,73
2016-07-24,1,69
2016-07-31,1,74
2016-08-07,1,67
2016-08-14,1,62
2016-08-21,2,76
2016-08-28,2,65
2016-09-04,2,67
2016-09-11,5,67
2016-09-18,4,70
2016-09-25,3,73
2016-10-02,4,74
2016-10-09,4,70
2016-10-16,4,75
2016-10-23,4,77
2016-10-30,4,69
2016-11-06,3,73
2016-11-13,5,76
2016-11-20,4,75
2016-11-27,5,80
2016-12-04,5,82
2016-12-11,6,82
2016-12-18,5,87
2016-12-25,3,54
2017-01-01,4,73
2017-01-08,5,94
2017-01-15,4,90
2017-01-22,6,84
2017-01-29,5,92
2017-02-05,6,96
2017-02-12,7,97
2017-02-19,6,91
2017-02-26,6,100
2017-03-05,6,95
2017-03-12,6,88
2017-03-19,6,95
2017-03-26,7,94
2017-04-02,7,97
2017-04-09,7,91
2017-04-16,6,88
2017-04-23,6,98
2017-04-30,7,82
2017-05-07,6,96
2017-05-14,8,97
2017-05-21,10,92
2017-05-28,8,91
2017-06-04,7,91
2017-06-11,8,92
2017-06-18,9,94
2017-06-25,9,89
2017-07-02,9,81
2017-07-09,9,97
2017-07-16,9,90
2017-07-23,9,94
2017-07-30,10,92
2017-08-06,11,94
2017-08-13,11,83
2017-08-20,11,87
2017-08-27,9,84
2017-09-03,9,89
2017-09-10,9,91
2017-09-17,9,97
2017-09-24,9,90
2017-10-01,10,88
2017-10-08,10,94
2017-10-15,10,90
2017-10-22,10,91
2017-10-29,9,90
2017-11-05,10,94
2017-11-12,10,93
2017-11-19,8,93
2017-11-26,11,91
2017-12-03,9,94
2017-12-10,11,90
2017-12-17,12,84
2017-12-24,8,59
2017-12-31,8,71
2018-01-07,11,85
2018-01-14,11,86
2018-01-21,12,96
2018-01-28,13,98
2018-02-04,10,93
2018-02-11,10,91
2018-02-18,12,90
2018-02-25,11,93
2018-03-04,15,91
2018-03-11,13,97
2018-03-18,12,99
2018-03-25,11,92
2018-04-01,12,90
2018-04-08,14,92
2018-04-15,13,100
2018-04-22,11,95
2018-04-29,13,83
2018-05-06,13,90
2018-05-13,15,99
2018-05-20,14,91
2018-05-27,14,88
2018-06-03,15,95
2018-06-10,14,93
2018-06-17,14,95
2018-06-24,13,87
2018-07-01,12,84
2018-07-08,15,90
2018-07-15,16,91
2018-07-22,14,92
2018-07-29,13,94
2018-08-05,14,88
2018-08-12,12,86
2018-08-19,14,91
2018-08-26,14,88
2018-09-02,12,86
2018-09-09,13,90
2018-09-16,15,92
2018-09-23,13,93
2018-09-30,14,85
2018-10-07,15,93
2018-10-14,16,90
2018-10-21,16,89
2018-10-28,14,87
2018-11-04,18,80
2018-11-11,18,89
2018-11-18,16,84
2018-11-25,16,93
2018-12-02,17,89
2018-12-09,19,86
2018-12-16,16,82
2018-12-23,11,52
2018-12-30,12,60
2019-01-06,18,84
2019-01-13,16,83
2019-01-20,17,90
2019-01-27,15,79
2019-02-03,17,79
2019-02-10,19,90
2019-02-17,17,86
2019-02-24,18,82
2019-03-03,17,85
2019-03-10,16,88
2019-03-17,18,82
2019-03-24,18,81
2019-03-31,16,92
2019-04-07,18,95
2019-04-14,17,82
2019-04-21,18,87
2019-04-28,18,80
2019-05-05,16,91
2019-05-12,17,90
2019-05-19,18,89
2019-05-26,18,86
2019-06-02,20,85
2019-06-09,19,94
2019-06-16,19,91
2019-06-23,21,90
2019-06-30,17,86
2019-07-07,22,98
2019-07-14,22,92
2019-07-21,23,92
2019-07-28,21,84
2019-08-04,20,87
2019-08-11,20,81
2019-08-18,22,95
2019-08-25,20,90
2019-09-01,24,87
2019-09-08,22,94
2019-09-15,21,95
2019-09-22,20,91
2019-09-29,19,79
2019-10-06,19,86
2019-10-13,23,91
2019-10-20,19,90
2019-10-27,22,82
2019-11-03,19,88
2019-11-10,22,99
2019-11-17,21,89
2019-11-24,17,88
2019-12-01,19,84
2019-12-08,20,86
2019-12-15,16,82
2019-12-22,14,55
2019-12-29,13,51
2020-01-05,18,81
2020-01-12,19,86
2020-01-19,19,87
2020-01-26,20,84
2020-02-02,22,88
2020-02-09,21,88
2020-02-16,21,89
2020-02-23,21,89
2020-03-01,20,92
2020-03-08,19,83
